provider,dataset,title,tags,name,subtitle,url
Statistics New Zealand,Energy Use Survey: Priority ratings of energy management by Industry (Annual-May) 2009â€“2016,Energy management goals for the health care and social assistance industry in New Zealand,Energy|Saving|Conservation|Industry,,"2013, % of businesses",https://figure.nz/chart/c3Wrj2STQKdA5DeB-r5tMzSiC5dCiYmCn
Statistics New Zealand,"Producers Price Index: Published input commodities, Base Dec 2009 (Quarterly) September 2016",Price paid by New Zealand businesses for accident and health insurance services,Producers Price Index|PPI|Business Price Index|BPI|Inflation,,"2011 Q1â€“2016 Q3, % change from previous quarter",https://figure.nz/chart/R4uQId6Yxo0rRBql-BDjkhsfrUR2ubhCb
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Northland Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-bb83zV0op3onjzwn
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Marlborough Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-W1CAIpfQEuTDD5qW
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Nelson Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-q9h9WZHjACdKE18A
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Gisborne Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-VDh5lveM3E5pTrAD
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Canterbury Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-baYA1oqSBLcjl9Et
Statistics New Zealand,Energy Use Survey: Energy management initiatives by Industry (Annual-May) 2009â€“2016,Energy management initiatives by the health care and social assistance industry in New Zealand,Energy|Management|Industry,,"2013, % of businesses",https://figure.nz/chart/OQfMFn6qXt1L8F8h-Ij67QR5RRl83lHNL
Statistics New Zealand,Energy Use Survey: Area of greatest energy savings by Industry (Annual-May) 2009â€“2016,Greatest energy saving area for the health care and social assistance industry in New Zealand,Energy|Saving|Conservation|Industry,,"2013, % of businesses",https://figure.nz/chart/I9qQizyCp2qK9dr5-oocMI6R6xPVYxavB
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Auckland Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-Z9NfQhUZljjCe3Ti
Ministry of Health,New Zealand Health Survey: Private Health Insurance Coverage 2011â€“2015,Number of MÄÅori adults with private health insurance cover in New Zealand,Insurance|Coverage|Ethnicity,,"By age group, 2011â€“2015 average, estimated number of people",https://figure.nz/chart/HnBer3Ob3MDKmv64-AmqLn86FQim0KJFS
Ministry of Health,New Zealand Health Survey: Private Health Insurance Coverage 2011â€“2015,Number of Pacific adults with private health insurance cover in New Zealand,Insurance|Coverage|Ethnicity,,"By age group, 2011â€“2015 average, estimated number of people",https://figure.nz/chart/HnBer3Ob3MDKmv64-pHKvKkalB3twalfi
Ministry of Health,New Zealand Health Survey: Private Health Insurance Coverage 2011â€“2015,Number of Asian adults with private health insurance cover in New Zealand,Insurance|Coverage|Ethnicity,,"By age group, 2011â€“2015 average, estimated number of people",https://figure.nz/chart/HnBer3Ob3MDKmv64-2zxRn9o85AB4eA1Z
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,"New Zealand adults who rated their health as good, very good or excellent",Self-rated,,"By sex and neighbourhood deprivation, year ended June 2015, % of adults within group",https://figure.nz/chart/du1Y79ZPFZdxDR7D-vmok9PxqSllQQjNm
Ministry of Health,New Zealand Health Survey: Child health status and behaviours 2014/15,"New Zealand children with excellent, very good or good health, as rated by their parent",Parents,,"By sex and ethnic group, year ended June 2015, % of children within group",https://figure.nz/chart/qcV50t6S4Kj4mHJF-IQoUcXzefbNxIJVa
Ministry of Health,New Zealand Health Survey: Child health status and behaviours 2014/15,"New Zealand children with excellent, very good or good health, as rated by their parent",Parents,,"By sex and neighbourhood deprivation, year ended June 2015, % of children within group",https://figure.nz/chart/qcV50t6S4Kj4mHJF-L5QrwO7reoTYHz7Q
Ministry of Health,New Zealand Health Survey: Child health status and behaviours 2014/15,"New Zealand children with excellent, very good or good health, as rated by their parent",Parents,,"By sex and age group, year ended June 2015, % of children within group",https://figure.nz/chart/qcV50t6S4Kj4mHJF-hDeI1tMxVwArxbri
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,"New Zealand adults who rated their health as good, very good or excellent",Self-rated,,"By sex and ethnicity, year ended June 2015, % of adults within group",https://figure.nz/chart/du1Y79ZPFZdxDR7D-XfcW8XEhQ024cvyS
Ministry of Health,New Zealand Health Survey: Adult health status - behaviours and risk factors 2014/15,"New Zealand adults who rated their health as good, very good or excellent",Self-rated,,"By sex and age group, year ended June 2015, % of adults within group",https://figure.nz/chart/du1Y79ZPFZdxDR7D-FtMP42mhydmaBjyi
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Businesses in the health care and social assistance industry by New Zealand region,,,"2015, number of businesses",https://figure.nz/chart/2ilRdpdUvwiCs5CV-nhDVrz4DvKxqaYHF
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Wellington Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-Vs33fpfR6jU11iNs
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health and welfare support workers in the Hawke's Bay Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-E3KTEeIoDH8WwPXK
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Waikato Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-JkEy7JfILobN9jn9
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Employment in the health care and social assistance industry in the Southland Region, New Zealand",Jobs|Work|Forecast|Projections,,"Estimates and projections for the year ended March 2016â€“2019, number of people employed",https://figure.nz/chart/zhrCWSKhJveTtlFs-9vRj3ptfefCh9dt1
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014",People employed in the health care and social assistance industry in New Zealand,Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-YfVe9V7mWpXLEMtD
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Education, health and welfare services managers in the Hawke's Bay Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-LvPYKBLxc2K1Wkyt
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Employment in the health care and social assistance industry in the Gisborne Region, New Zealand",Jobs|Work|Forecast|Projections,,"Estimates and projections for the year ended March 2016â€“2019, number of people employed",https://figure.nz/chart/zhrCWSKhJveTtlFs-Wz8DvWa5B9T143jB
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Employment in the health care and social assistance industry in the Taranaki Region, New Zealand",Jobs|Work|Forecast|Projections,,"Estimates and projections for the year ended March 2016â€“2019, number of people employed",https://figure.nz/chart/zhrCWSKhJveTtlFs-ubB6tcUcivbAa3Uk
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Education, health and welfare services managers in the Bay of Plenty Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-X48VH4KwKH6foaZb
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Taranaki Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-4f7CRaQAoa8L1iZ0
Statistics New Zealand,"Producers Price Index: Inputs NZSIOC level 4, Base Dec 2010 quarter (Quarterly) September 2016",Price of inputs paid by the medical and other health care services industry in New Zealand,Producers Price Index|PPI|Business Price Index|BPI,,"2011 Q3â€“2016 Q3, % change from same quarter previous year",https://figure.nz/chart/x60NMkcyxySOIDTz-o1uAfq2eoBWjQwJo
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Tasman Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-kSmwyvmDx1K9fYtZ
Statistics New Zealand,"Census: Incomes by qualification, study participation, age and industry 2013",Age distribution of people working in the health and general insurance industry in New Zealand,Work|Age|Business,,"2013 Census, %",https://figure.nz/chart/YLD1eftMXZOMsBur-0HUU8uJplxJO1DRK
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Southland Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-8FFxxUWpSypblMlW
Statistics New Zealand,"LEED: Main earnings source, by industry 2000â€“2014","People employed in the health care and social assistance industry in the Otago Region, New Zealand",Business|Staff,,"By main earnings source, 2000â€“2014, number of people",https://figure.nz/chart/XWfrWxbPyQe6Zn0f-DDtIv9YM1Y3rmcxV
Statistics New Zealand,"Census: Incomes by qualification, study participation, age and industry 2013",Age distribution of people working in the health care services industry (other) in New Zealand,Work|Age|Business,,"2013 Census, %",https://figure.nz/chart/YLD1eftMXZOMsBur-1TjybFLkyyv2kkoR
Statistics New Zealand,"Census: Incomes by qualification, study participation, age and industry 2013",Age distribution of people working in the allied health services industry in New Zealand,Work|Age|Business,,"2013 Census, %",https://figure.nz/chart/YLD1eftMXZOMsBur-Js8hhZQc3mk6au17
Statistics New Zealand,Energy Use Survey: End use of petrol and diesel by Industry in Terajoules (Annual-May) 2008â€“2016,End use of fuel for the health care and social assistance industry in New Zealand,Energy|Fuel|Petrol|Use|Industry,,"By fuel type, 2013, terajoules",https://figure.nz/chart/qjy8peEH6I2EZKPs-E5BjaIxkasASDIsK
Statistics New Zealand,Energy Use Survey: Energy use type by Industry in Terajoules (Annual-May) 2008â€“2016,Types of fuels used by the health care and social assistance industry in New Zealand,Energy|Fuel|Industry,,"2013, terajoules",https://figure.nz/chart/tm8V5OaChOlaKEhC-FVMyTdmifTmAcfp0
Statistics New Zealand,Energy Use Survey: Amount of petrol and diesel purchased by Industry in Terajoules (Annual-May) 2009â€“2016,Fuel purchased by the health care and social assistance industry in New Zealand,Energy|Fuel|Petrol|Industry,,"By purchasing location, 2013, terajoules",https://figure.nz/chart/o04wFPZnVnrC8rwB-o2XNVKEwLV9zCSzV
Statistics New Zealand,"Producers Price Index: Published input commodities, Base Dec 2009 (Quarterly) September 2016",Price paid by New Zealand businesses for accident and health insurance services,Producers Price Index|PPI|Business Price Index|BPI|Inflation,,"2011 Q1â€“2016 Q3, % change from same quarter previous year",https://figure.nz/chart/CedWte7xjTL5Y9Xt-SDuzcxt0tu41vUYl
Statistics New Zealand,"Producers Price Index: Inputs NZSIOC level 4, Base Dec 2010 quarter (Quarterly) September 2016",Price index for inputs of the medical and other health care services industry in New Zealand,Producers Price Index|PPI|Business Price Index|BPI,,"1995 Q3â€“2016 Q3, producers price index (Base 2010 Q4 = 1000)",https://figure.nz/chart/YvhuEptsu1jLB2QF-UznEajs1ezvmtMWM
Statistics New Zealand,Productivity Statistics: Industry-Level Statistics 1978â€“2015,Productivity indexes for the health care and social assistance industry in New Zealand,Productivity|Economy|Income|Growth,,"Years to March 1996â€“2014, index (1996 base = 1000)",https://figure.nz/chart/pVshkW7umC0I1RJ7-e9my5u1zF70TBFjR
Statistics New Zealand,LEED: Measures by industry (based on ANZSIC06) and region 1999â€“2014,Filled jobs in the health care and social assistance industry in New Zealand,Business|Staff|Income|Earnings,,"By region, 2013 Q4â€“2014 Q3",https://figure.nz/chart/volfA4CaCXWrHj6p-cW1rHnKCbqhZyy81
Statistics New Zealand,Business Demography Statistics: Survival rates of enterprise births by industry 2006â€“2015,Business survival rates in the health care and social assistance industry in New Zealand,Industry|Success|Survival,,"2007â€“2015, % of surviving enterprises in the reference year",https://figure.nz/chart/mBoxAr1YlOeOcshS-RKC9owFX6PxMuo0H
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the Whanganui District, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-d8Jit10ypM2JKHEp
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the New Plymouth District, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-VDMXlOLKznunKmYD
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in Nelson City, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-W6ocMpQO0NsaoJ2X
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in Napier City, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-48QP9A8buHQ5Pbis
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the Whangarei District, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-7XWmlbMRFfD9jL7J
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the Whakatane District, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-WKY3EOjqZJ9Ufhfw
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the Waipa District, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/ds7lnZDk8lUK0dZo-lbWwcIvoE5Oc9vcS
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Referrals received by New Zealand mental health and addiction teams from Community Support Services,Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-aTvQimkQO6pkxdJf
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Referrals received by New Zealand mental health and addiction teams from day hospitals,Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-9ehu0dDtlMFn9yQK
Statistics New Zealand,LEED: Measures by age and industry (based on ANZSIC06) 1999â€“2014,Filled jobs by age group in the health care and social assistance industry in New Zealand,Business|Staff|Employee,,"2013 Q4â€“2014 Q3, number of filled jobs",https://figure.nz/chart/eFFITzJsRpZW7VAX-ZCYsFrDI3XAnqzps
Statistics New Zealand,Business Demography Statistics: Geographic units births and deaths by area and industry 2001â€“2015,"Health care and social assistance business births/deaths in the Otago Region, New Zealand",Industry|Startup|Failure,,2001â€“2015,https://figure.nz/chart/4N60ufl6kRA0eD5v-4wB5HSxXKHlXDXZX
Ministry of Health,Mental Health and Addiction: Service use 2011/12,"Referrals received by New Zealand mental health and addiction teams from child, adolescent and family services",Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-9zSRII4SymoUqtCp
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Referrals received by New Zealand mental health and addiction teams from accident and emergency services,Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-F9rCwDHiwLAmpntr
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Referrals received by New Zealand mental health and addiction teams from alcohol and drug services,Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-L4ESk1flRQaRm534
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Referrals received by New Zealand mental health and addiction teams from adult community mental health services,Referral,,"By age and sex, year ended June 2012, number of new referrals",https://figure.nz/chart/8nRfDKfI5jcpM7HI-xXFyQPWxH0Hwe5XX
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Proportion of total businesses that are in the health and fitness centres and gymnasia operation industry,,,"By region in New Zealand, 2015, % of all industries in each region",https://figure.nz/chart/XDBF0NNaIJJmFpPS-rNYK0azjNjL1I6CN
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Proportion of total businesses that are in the medical and other health care services industry,,,"By region in New Zealand, 2015, % of all industries in each region",https://figure.nz/chart/XDBF0NNaIJJmFpPS-0ku2z4ymrEvlzFYW
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 3a (absolute values) 2013,People employed in the health care and social assistance industry in New Zealand,People|Industry|Employment,,"By region of residence, 2013 Census, number of people",https://figure.nz/chart/5TyIUutiyHIXedIt-aUpdZ9cjKRiMBusc
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Proportion of total businesses that are in the health care and social assistance industry,,,"By region in New Zealand, 2015, % of all industries in each region",https://figure.nz/chart/XDBF0NNaIJJmFpPS-ZZWSA1dfWS2NxbdK
Statistics New Zealand,Business Demography Statistics: Enterprises by business type and industry 2000â€“2015,Employees by business type in the health care and social assistance industry in New Zealand,Industry|Employment|Government|Trust|Joint Venture,,"2015, number of employees",https://figure.nz/chart/8WTAMu5nNYU1ePB4-dUsH2Dk6npFTIuPJ
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Proportion of total businesses that are in the allied health services industry,,,"By region in New Zealand, 2015, % of all industries in each region",https://figure.nz/chart/XDBF0NNaIJJmFpPS-vF2tCAANt8KVrTvm
Statistics New Zealand,Business Demography Statistics: Geographic units by region and industry 2015 (with percentages),Proportion of total businesses that are in the health and general insurance industry,,,"By region in New Zealand, 2015, % of all industries in each region",https://figure.nz/chart/XDBF0NNaIJJmFpPS-hj3eFLKpHsTONtHR
The Treasury,Fiscal Time Series: Core Crown Expense Tables 2000â€“2015,Core Crown spending on health services purchasing in New Zealand by category,Central Government|Treasury|Finance|Crown,,"Year ended June 2015, NZD millions",https://figure.nz/chart/vq48v1uPvNrm37C3-sLZKt3CD3mkwBrqJ
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 3a (absolute values) 2013,People employed in the health care and social assistance industry in New Zealand,Work|Job|Employment|Industry,,"By territorial authority of residence, 2013 Census, number of people",https://figure.nz/chart/QmZvAbv7pjYwDLqw-NPRB0YZA603DdhlZ
Ministry of Health,"New Zealand Health Survey: Adult health service use, unmet need and oral health 2014/15",New Zealand adults who visited a dental health care worker in the past 12 months,Dentist|Teeth,,"By sex and neighbourhood deprivation, year ended June 2015, % of adults (with natural teeth)",https://figure.nz/chart/oVTvRD1fWXY20EUp-on3RVfnhmX9b4r5r
Statistics New Zealand,Business Demography Statistics: Enterprises by industry 2000â€“2015,Enterprises in the health and fitness centres and gymnasia operation industry in New Zealand,Industry,,"2000â€“2015, number of enterprises",https://figure.nz/chart/IW0xisEu03j4YW09-5VrtIeTcpVqd92Tf
Ministry of Health,"New Zealand Health Survey: Adult health service use, unmet need and oral health 2014/15",New Zealand adults who visited a dental health care worker in the past 12 months,Dentist|Teeth,,"By sex and ethnicity, year ended June 2015, % of adults (with natural teeth)",https://figure.nz/chart/oVTvRD1fWXY20EUp-kXvFhvUVlfplJCb5
Ministry of Health,"New Zealand Health Survey: Adult health service use, unmet need and oral health 2014/15",New Zealand adults who visited a dental health care worker in the past 12 months,Dentist|Teeth,,"By sex and age group, year ended June 2015, % of adults (with natural teeth)",https://figure.nz/chart/oVTvRD1fWXY20EUp-CuFfYBKRFZpL8all
Statistics New Zealand,Business Demography Statistics: Enterprises by industry 2000â€“2015,Enterprises in the medical and other health care services industry in New Zealand,Industry,,"2000â€“2015, number of enterprises",https://figure.nz/chart/IW0xisEu03j4YW09-358w5jqNlpXN26qU
Statistics New Zealand,Productivity Statistics: Industry-Level Statistics 1978â€“2015,Multifactor productivity growth rate for the health care and social assistance industry in New Zealand,Productivity|Economy|Income|Growth,,"Years to March 1997â€“2014, % change",https://figure.nz/chart/FmlCPmK3iPWuFtpS-CmDE4cTZdLj5Q2kN
Statistics New Zealand,Business Demography Statistics: Enterprises by industry 2000â€“2015,Enterprises in the health care and social assistance industry in New Zealand,Industry,,"2000â€“2015, number of enterprises",https://figure.nz/chart/IW0xisEu03j4YW09-AOvkSl089q3XoADm
Statistics New Zealand,Productivity Statistics: Industry-Level Statistics 1978â€“2015,Capital productivity growth rate for the health care and social assistance industry in New Zealand,Productivity|Economy|Income|Growth,,"Years to March 1997â€“2014, % change",https://figure.nz/chart/FmlCPmK3iPWuFtpS-l73PwhQXq8O5Nsry
Ministry of Health,Mental Health and Addiction: Service use 2011/12,People seen face-to-face by mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age group and sex, year ended June 2012",https://figure.nz/chart/feKWBW245mXci6iH-Am1vvx8lMRsZERvO
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Asian people seen face-to-face by mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age group and sex, year ended June 2012",https://figure.nz/chart/feKWBW245mXci6iH-omRRX37M38v6H78m
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Pacific people seen face-to-face by mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age group and sex, year ended June 2012",https://figure.nz/chart/feKWBW245mXci6iH-O7bf4SCCaLEZ2jNx
Ministry of Health,"New Zealand Health Survey: Child health service use, unmet need and oral health 2014/15",New Zealand children who visited a dental health care worker in the past 12 months,Dentist|Teeth,,"By sex and neighbourhood deprivation, year ended June 2015, % of children aged 1-14",https://figure.nz/chart/2KqOpLfrTAJ0R6w1-Tzet59ISutlalfJD
Ministry of Health,"New Zealand Health Survey: Child health service use, unmet need and oral health 2014/15",New Zealand children who visited a dental health care worker in the past 12 months,Dentist|Teeth,,"By sex and ethnicity, year ended June 2015, % of children aged 1-14",https://figure.nz/chart/2KqOpLfrTAJ0R6w1-VSjAAABQiQpIItsd
Ministry of Health,Mental Health and Addiction: Service use 2011/12,MÄÅori people seen face-to-face by mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age group and sex, year ended June 2012",https://figure.nz/chart/feKWBW245mXci6iH-jsJJwIpNZIsJSy7k
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Rate of Pacific people using mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age and sex, year ended June 2012, rate per 100,000 population in each group",https://figure.nz/chart/aZ5FP0j0SbyNyqe7-2VpdRdkyJ0aRNRlh
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Pacific people seen by mental health and addiction services in New Zealand,Addiction,,"By age group and sex, year ended June 2012",https://figure.nz/chart/oiaQVlf3kD2H4xbH-Mz3ZJpNsDZPyj2Bw
Ministry of Health,Mental Health and Addiction: Service use 2011/12,MÄÅori people seen by mental health and addiction services in New Zealand,Addiction,,"By age group and sex, year ended June 2012",https://figure.nz/chart/oiaQVlf3kD2H4xbH-mAXeBm84xWm05BwS
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Asian people seen by mental health and addiction services in New Zealand,Addiction,,"By age group and sex, year ended June 2012",https://figure.nz/chart/oiaQVlf3kD2H4xbH-rIn9JXeSkON2XqId
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Rate of people using mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age and sex, year ended June 2012, rate per 100,000 population in each group",https://figure.nz/chart/aZ5FP0j0SbyNyqe7-CfhN5ywQCpeOwTe5
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to Vocational Services ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-xU6xyfK9NMudCqHx
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to Social Welfare ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-uk5Y6NWhBJ6cl1fH
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Rate of Asian people using mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age and sex, year ended June 2012, rate per 100,000 population in each group",https://figure.nz/chart/aZ5FP0j0SbyNyqe7-OzPPzyq82IjDHopf
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Rate of MÄÅori people using mental health and addiction services in New Zealand,Addiction|Ethnicity,,"By age and sex, year ended June 2012, rate per 100,000 population in each group",https://figure.nz/chart/aZ5FP0j0SbyNyqe7-Hxkz4rs9LRaE8mTu
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams with self or relative referral ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-ApFYYyrmEVL6SPh7
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to public health services ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-tCPOj3FZxKiAXi45
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to general practitioners ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-N8wEwhqNoYvxHv2Q
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to non-psychiatric hospitals ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-qei1onaFeDMd9biO
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to the education sector ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-jdH1K6O4BmTkaTas
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to Community Support Service ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-k2uzvuXN1Ny7uceK
Ministry of Health,Mental Health and Addiction: Service use 2011/12,Discharges from New Zealand mental health and addiction teams to day hospitals ,Discharges,,"By age group and sex, year ended June 2012, number of people",https://figure.nz/chart/dotZY39sZvAbMd9q-fwKZN30xx09Rvhfb
Statistics New Zealand,Census: Qualifications by occupation by industry 2013,Highest qualifications of people working in the health care services industry (other) in New Zealand,Occupations|Education|Qualification|Work,,"2013 Census, %",https://figure.nz/chart/zNtAhhyNmReAAz4o-TrzqFJXIYehH8LHR
